ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
712,14,14,3,1428,4638,4781,1943,1291,137,369,341,390,328,10176,1245,24,0.16,1889,267,1087,1243,1612,572,86,211,952,487,78,75,0,0,4,0,0,0,2,1.02601,0,1428,712,143
713,14,14,3,1532,5154,5167,2011,1407,125,402,315,311,504,12611,1816,115,0.15,889,243,1171,1312,1851,590,42,215,55,352,148,77,0,0,4,0,0,0,2,0.96313,0,1532,713,13
714,14,14,3,377,1028,1067,515,361,16,133,72,74,98,372520,1102,276,0.19,911,50,184,303,373,157,61,101,60,160,13,516,0,0,4,0,0,0,1,0.93909,0,377,714,39
715,15,15,4,2324,6986,7081,3390,2023,301,259,346,941,778,137540,4601,2964,0.1,22137,721,1325,2823,1725,487,1177,9837,1639,4749,202,4533,0,0,4,0,0,0,1,1.03911,0,2324,715,95
716,15,15,4,1752,4641,4667,1709,1161,591,565,370,496,321,1182,970,60,0.23,1809,275,780,1405,1254,953,112,400,278,549,13,457,0,0,4,0,0,0,3,1.05061,0,1752,716,26
717,15,15,4,2054,5627,5660,2314,1650,404,558,431,585,480,677,473,151,0.16,1671,387,1214,1994,1288,777,134,264,684,320,6,263,0,0,4,1777.74353,0,0,3,1.16812,0,2054,717,33
718,15,15,4,2793,7976,7985,3744,2104,689,490,436,904,963,1344,817,268,0.08,3451,667,1877,2970,2071,400,390,533,238,747,2,1541,0,0,4,0,0,0,3,1.16032,0,2793,718,9
719,15,15,4,2491,6581,6595,3046,1935,556,526,528,825,612,911,494,37,0.11,650,595,1339,2689,1385,587,79,42,196,274,0,59,0,0,4,0,0,0,3,1.16323,0,2491,719,14
720,15,15,4,1237,3620,3633,1860,1214,23,120,194,465,458,11418,1562,207,0.07,1391,254,885,1435,895,164,52,63,523,726,0,27,0,0,4,0,1062.82825,4703.3125,3,0.96644,0,1237,720,13
721,15,15,4,2256,5754,5852,2784,1537,719,440,376,615,825,1129,508,139,0.1,2434,471,1112,2304,1547,418,885,346,439,480,0,284,0,0,4,0,0,0,1,1.21422,0,2256,721,98
722,15,15,4,2821,8799,8830,3783,2228,593,699,770,1016,336,538,443,79,0.11,687,725,1877,3589,1898,741,72,99,278,211,3,24,0,0,4,0,0,0,3,1.24438,0,2821,722,31
723,15,15,4,1757,4594,4616,2076,1405,352,313,378,495,571,981,650,75,0.14,2268,297,877,1644,1321,477,323,461,892,307,3,282,0,0,4,0,0,0,3,1.14103,0,1757,723,22
724,15,15,4,2727,6107,6224,3157,1982,745,635,576,839,677,738,518,146,0.18,2964,371,1005,2142,1753,953,535,680,1312,273,3,161,0,0,4,0,0,0,3,1.24999,0,2727,724,117
725,15,15,4,1322,3999,4012,1951,1304,18,70,202,335,715,1193,813,12,0.13,338,239,891,1002,1549,331,40,108,81,79,0,30,0,0,4,0,0,0,2,0.99851,0,1322,725,13
726,15,15,4,2904,8308,8308,3716,2515,389,427,653,905,919,940,641,58,0.13,638,521,1778,2639,2622,748,112,83,290,123,0,30,0,0,4,0,0,0,3,1.14069,0,2904,726,0
727,15,15,4,1026,2960,3102,1176,994,32,260,189,368,209,296,236,55,0.16,323,201,638,1053,819,391,11,44,253,15,0,0,0,0,4,1702.4502,0,0,3,1.12811,0,1026,727,142
728,15,15,4,2357,6560,6560,3317,2036,321,419,396,799,743,3167,752,558,0.09,6384,479,1419,2400,1846,416,455,969,746,2879,26,1309,0,0,4,0,0,0,3,1.1926,0,2357,728,0
729,15,15,4,3874,10995,10995,4849,3517,357,398,734,919,1823,7251,2183,101,0.1,1741,752,1785,5044,2599,815,410,225,121,594,13,378,0,0,4,0,0,0,1,1.0128,0,3874,729,0
730,15,15,4,3073,8114,13783,3167,1597,1476,206,553,989,1325,2814,510,1299,0.03,3421,472,915,9664,2575,157,446,464,627,1380,36,468,0,0,5,0,0,0,2,1.10943,0,3073,730,5669
731,15,15,4,1923,4067,4068,1427,502,1421,376,368,779,400,399,223,21,0.06,199,263,607,2101,952,145,31,102,11,51,0,4,0,0,4,0,0,0,1,1.21871,0,1923,731,1
732,15,15,4,1547,4513,4551,1456,1352,195,215,300,595,437,786,371,351,0.1,6414,340,959,1799,1140,313,895,1437,1559,1298,55,1170,0,0,4,1019.90314,0,0,3,1.38701,0,1547,732,38
733,15,15,4,2041,5909,5968,1801,1844,197,310,531,702,498,785,468,291,0.12,4501,417,1281,2247,1493,530,1342,747,1351,738,0,323,0,0,4,0,0,0,2,1.287,0,2041,733,59
734,15,15,4,2737,7306,7314,2423,2499,238,311,355,817,1254,2976,767,79,0.12,2763,423,1456,2495,2333,607,210,690,698,895,42,228,0,0,4,264.0238,0,0,1,1.18607,0,2737,734,8
735,15,15,4,1263,3379,3379,1895,1066,197,64,212,359,628,12420,1055,13,0.14,1091,183,611,1044,1205,336,45,548,285,88,0,125,0,0,5,1621.28296,0,0,1,0.9956,0,1263,735,0
736,15,15,4,3190,8710,8722,4616,2445,745,282,456,917,1535,1531,744,283,0.13,7694,513,1844,2752,2795,818,2506,2008,1481,704,0,995,0,0,3,0,0,0,2,1.36485,0,3190,736,12
737,15,15,4,1515,4631,4658,2494,1515,0,188,216,564,547,953,515,272,0.1,9561,331,1022,1507,1493,305,610,3977,1150,1445,0,2379,0,0,4,0,0,0,3,1.52056,0,1515,737,27
738,15,15,4,1942,5720,5733,2975,1821,121,145,257,451,1089,514,437,14,0.1,392,347,1491,1651,1909,335,72,85,76,83,0,76,0,0,4,0,0,0,3,1.153,0,1942,738,13
739,15,15,4,2236,5132,5250,2525,768,1468,704,605,594,333,1205,191,234,0.19,7196,343,727,2265,1043,872,362,1961,1357,1898,24,1594,0,0,4,0,0,0,3,1.83638,0,2236,739,118
740,15,15,4,1361,3669,3684,1948,1174,187,159,242,421,539,441,308,87,0.17,1541,191,744,1014,1235,500,227,246,693,159,0,216,0,0,4,1878.45679,0,0,3,1.22504,0,1361,740,15
741,15,15,4,1670,4736,4796,2522,1354,316,138,301,421,810,528,306,81,0.12,883,242,1101,1352,1691,410,100,270,340,62,0,111,0,0,4,0,0,0,3,1.20816,0,1670,741,60
742,15,15,4,3468,9554,9565,5192,2174,1294,394,730,1053,1291,1686,541,734,0.08,14872,737,1870,4041,2396,521,2578,4783,2272,2635,32,2572,0,0,3,0,0,0,3,1.52696,0,3468,742,11
743,15,15,4,3220,9048,9109,4530,2827,393,388,470,929,1433,2250,656,402,0.12,4843,736,1870,3464,2215,824,291,595,755,1472,106,1624,0,0,4,0,0,0,3,1.24176,0,3220,743,61
744,15,15,4,1764,4629,4768,2320,1173,591,494,313,419,538,523,382,94,0.19,1493,325,835,1669,1187,752,100,133,861,295,0,104,0,0,4,0,0,0,1,1.20406,0,1764,744,139
745,15,15,4,1781,4576,4576,2306,1223,558,278,290,546,667,1980,421,13,0.18,479,284,879,1373,1390,650,20,103,112,168,0,76,0,0,4,0,0,0,1,1.12584,0,1781,745,0
746,15,15,4,2605,8075,8075,3785,2433,172,191,312,367,1735,65629,2570,117,0.1,3449,544,2027,2299,2689,516,234,704,640,1204,75,592,0,0,4,0,0,0,1,1.00412,0,2605,746,0
747,16,16,4,1172,3708,3708,1876,1172,0,22,33,97,1020,3271,523,15,0.11,202,236,783,1096,1335,258,10,88,51,40,0,13,0,0,5,0,0,0,1,1.03188,0,1172,747,0
748,16,16,4,1207,4074,4074,2016,1207,0,146,175,331,555,433,312,73,0.11,258,328,837,1434,1157,318,10,58,66,15,1,108,0,0,4,0,0,0,2,1.10789,0,1207,748,0
749,16,16,4,2078,6120,6126,2993,1244,834,411,556,531,580,438,270,138,0.1,765,489,962,2688,1542,445,130,248,232,73,1,81,0,0,4,0,0,0,2,1.23573,0,2078,749,6
750,16,16,4,5,13,14,6,3,2,0,1,2,2,854,1,489,0.07,8714,2,2,7,2,1,516,1373,690,847,12,5276,0,0,2,0,1457.95898,0,3,1.66132,0,5,750,1
751,16,16,4,5,13,14,6,3,2,0,1,2,2,11159.7998,1,1915,0.07,20561,2,2,7,2,1,1216,3239,1629,1999,29,12449,0,0,4,0,0,0,3,1.35821,0,5,751,1
752,16,16,4,243,725,728,337,158,85,17,34,96,96,1585.40002,38,1426,0.07,12807,85,119,366,123,35,758,2018,1014,1245,18,7754,0,0,2,0,0,0,3,1.28149,0,243,752,3
753,16,16,4,1410,4602,4611,2208,1403,7,126,80,353,851,570,516,28,0.1,491,301,1078,1424,1494,314,35,210,152,79,0,15,0,0,4,0,0,0,1,1.08171,0,1410,753,9
754,16,16,4,1165,3949,4025,1758,1152,13,15,39,108,1003,3692,713,231,0.13,941,235,1050,1257,1097,386,37,150,633,81,0,40,0,0,4,0,2805.11987,7216.25244,1,1.01342,0,1165,754,76
755,16,16,4,3084,9945,10015,4491,2759,325,413,328,777,1566,1301,992,66,0.13,1713,645,2338,3109,3005,918,187,685,405,182,0,254,0,0,4,0,0,0,1,1.12946,0,3084,755,70
756,16,16,4,2108,6863,6875,2729,1987,121,368,410,555,775,981,782,48,0.19,3180,344,1541,1944,1990,1056,301,709,588,982,34,566,0,0,4,2199.19458,0,0,2,1.20412,0,2108,756,12
757,16,16,4,795,2909,2917,1439,795,0,65,239,323,168,189,179,3,0.1,387,231,641,1138,690,217,47,81,76,139,0,44,0,0,4,0,0,0,3,1.26391,0,795,757,8
758,16,16,4,1820,5895,5917,2843,1343,477,371,409,611,429,390,335,38,0.13,390,417,1242,2193,1440,625,16,82,221,60,0,11,0,0,4,1736.672,0,0,3,1.21469,0,1820,758,22
759,16,16,4,2303,7175,7194,3454,1936,367,372,421,830,680,550,395,126,0.13,501,544,1340,2837,1707,766,31,64,213,118,5,70,0,0,4,0,0,0,3,1.1758,0,2303,759,19
760,16,16,4,1912,6247,6254,2910,1542,370,348,398,748,418,400,355,35,0.14,357,483,1287,2424,1364,696,41,59,170,56,4,27,0,0,4,0,0,0,3,1.21207,0,1912,760,7
761,16,16,4,3286,9055,9175,4473,1439,1847,982,846,931,527,594,408,166,0.13,2183,652,1751,3845,1912,1015,338,464,974,216,3,188,0,0,4,0,0,0,3,1.33515,0,3286,761,120
762,16,16,4,1247,3648,3662,1977,756,491,183,303,427,334,222,176,9,0.09,416,287,734,1623,768,250,42,112,130,110,5,17,0,0,3,0,0,0,3,1.33384,0,1247,762,14
763,16,16,4,3099,8181,8184,3674,731,2368,872,685,1065,477,249,169,72,0.12,3356,724,1133,4175,1316,836,127,1669,558,821,9,172,0,0,3,0,0,0,3,2.07831,0,3099,763,3
764,16,16,4,2167,7122,7371,3190,1577,590,531,457,699,480,490,407,77,0.15,1382,517,1447,2766,1696,945,398,157,687,88,9,43,0,0,4,0,0,0,3,1.2815,0,2167,764,249
765,16,16,4,909,2797,2815,1482,879,30,148,251,194,316,308,167,106,0.14,1043,203,541,975,803,293,381,99,386,161,5,11,0,0,4,1365.08496,0,0,3,1.23848,0,909,765,18
766,16,16,4,1046,2865,2873,1331,895,151,218,226,340,262,303,193,78,0.22,384,155,519,876,792,531,15,187,133,33,5,11,0,0,4,0,0,0,3,1.14028,0,1046,766,8
767,16,16,4,2920,8763,8775,4247,2185,735,466,616,1025,813,2081,530,663,0.12,6693,553,1624,3427,2417,754,1795,1202,1325,509,1,1861,0,0,4,2100.43311,0,0,3,1.26455,0,2920,767,12
768,16,16,4,2333,8169,8209,3566,1755,578,445,555,640,693,6223,378,687,0.09,5561,654,1863,3190,1956,546,1007,698,376,616,1,2863,0,0,4,0,0,0,3,1.25392,0,2333,768,40
769,16,16,4,4246,12678,12721,5885,2765,1481,295,602,1672,1677,5833.7998,666,244,0.07,2422,1485,2078,6390,2157,611,143,382,192,235,3,1467,0,0,4,0,0,0,3,1.25171,0,4246,769,43
770,16,16,4,1927,6481,6499,2959,1756,171,307,504,684,432,514,371,106,0.12,1003,452,1471,2302,1653,621,150,215,525,56,1,56,0,0,4,0,0,0,3,1.22163,0,1927,770,18
771,16,16,4,2424,7264,7280,3178,2157,267,587,445,593,799,740,464,155,0.19,1364,421,1376,2182,2152,1149,302,188,796,66,1,11,0,0,4,0,0,0,3,1.19396,0,2424,771,16
772,16,16,4,1431,5101,5115,2064,1070,361,378,336,506,211,242,197,20,0.12,292,394,1118,2076,1055,472,27,66,131,23,1,44,0,0,4,0,0,0,3,1.35993,0,1431,772,14
773,16,16,4,1937,6650,6696,2974,1002,935,394,554,675,314,490,232,218,0.09,1904,545,1485,2916,1282,468,128,293,397,697,1,388,0,0,4,0,0,0,3,1.33456,0,1937,773,46
774,16,16,4,2561,7237,7378,3404,1227,1334,690,618,757,496,553,316,197,0.11,3288,598,1198,3447,1506,629,293,859,891,749,8,488,0,0,4,296.2937,0,0,3,1.41951,0,2561,774,141
775,16,16,4,2922,8762,8919,3907,2014,908,637,651,793,841,624,568,56,0.17,791,633,1643,3257,2086,1300,90,221,289,147,8,36,0,0,4,1797.29883,0,0,3,1.19727,0,2922,775,157
776,16,16,4,2334,6820,6844,3130,1573,761,487,575,797,475,514,353,146,0.16,1300,438,1220,2509,1786,891,14,344,592,299,12,39,0,0,4,0,0,0,3,1.24476,0,2334,776,24
777,16,16,4,2037,5261,5604,2509,108,1929,625,514,630,268,350,103,238,0.18,7813,421,666,2719,883,915,930,2522,2235,1906,9,211,0,0,2,0,0,0,3,2.16317,0,2037,777,343
778,16,16,4,5341,13456,13461,7439,2016,3325,818,1211,2012,1300,1312,483,226,0.08,7284,1051,1703,7271,2641,795,213,1562,3094,2214,9,192,0,0,4,0,0,0,3,1.66445,0,5341,778,5
779,16,16,4,1628,5166,5166,2383,1600,28,169,238,457,764,455,364,16,0.15,695,299,1192,1458,1604,613,92,232,231,15,114,11,0,0,4,0,0,0,3,1.20937,0,1628,779,0
780,16,16,4,997,3200,3211,1450,980,17,64,126,243,564,1923,532,46,0.14,751,204,757,890,1039,321,37,516,157,20,0,21,0,0,4,0,0,0,1,1.04858,0,997,780,11
781,16,16,4,1635,4237,4308,2154,1349,286,381,267,382,605,3696,635,61,0.18,453,226,851,1345,1273,613,4,136,160,14,0,139,0,0,4,0,0,0,1,1.03164,0,1635,781,71
782,16,16,4,2496,6780,6816,3355,1880,616,582,404,864,646,795,475,82,0.14,968,468,1160,2642,1806,740,130,321,279,139,0,99,0,0,4,0,0,0,3,1.18214,0,2496,782,36
783,16,16,4,1163,3172,3179,1654,581,582,168,260,313,422,743,189,20,0.1,190,225,419,1453,852,230,4,29,26,25,0,106,0,0,4,0,0,0,3,1.19762,0,1163,783,7
784,16,16,4,1814,5522,5553,2578,1500,314,365,367,479,603,544,385,106,0.15,770,365,918,1907,1711,652,167,122,244,100,1,136,0,0,4,0,0,0,3,1.15894,0,1814,784,31
785,16,16,4,2219,6770,6803,3377,1530,689,549,525,700,445,408,349,35,0.12,990,483,1388,2791,1497,644,172,104,289,381,8,36,0,0,4,1310.32288,0,0,3,1.3123,0,2219,785,33
786,16,16,4,1408,4538,4561,2183,1339,69,182,305,555,366,309,256,7,0.15,301,285,863,1558,1338,517,76,119,89,1,9,7,0,0,4,0,0,0,3,1.24433,0,1408,786,23
787,16,16,4,2271,6908,6930,3558,1776,495,414,594,626,637,464,423,12,0.12,604,476,1243,2700,1899,612,150,186,143,105,1,19,0,0,4,0,0,0,3,1.23058,0,2271,787,22
788,16,16,4,1759,5853,5869,2637,1502,257,336,273,534,616,422,406,4,0.13,241,442,1278,2015,1522,612,8,106,106,9,5,7,0,0,4,0,0,0,3,1.16845,0,1759,788,16
789,16,16,4,1419,4955,4980,2461,1391,28,258,275,397,489,292,270,4,0.11,92,359,989,1727,1508,397,0,42,39,0,0,11,0,0,4,0,0,0,3,1.22392,0,1419,789,25
790,16,16,4,1718,6059,6068,3049,1645,73,190,259,461,808,630,514,4,0.1,181,414,1456,1970,1825,403,5,41,106,0,2,27,0,0,4,0,0,0,3,1.11356,0,1718,790,9
791,16,16,4,987,3805,3840,1830,936,51,175,223,362,227,142,127,11,0.1,177,289,942,1435,897,277,13,18,96,11,2,37,0,0,4,0,0,0,3,1.43028,0,987,791,35
792,16,16,4,1000,3804,3883,1967,990,10,95,179,411,315,195,188,3,0.14,229,220,800,1238,1223,402,96,14,64,21,2,32,0,0,4,0,0,0,3,1.29797,0,1000,792,79
793,16,16,4,1283,4651,4674,2017,1060,223,370,246,407,260,239,200,22,0.12,344,295,1089,1603,1267,420,45,59,207,4,2,27,0,0,4,0,0,0,3,1.32546,0,1283,793,23
794,16,16,4,866,3310,3310,1436,856,10,58,47,258,503,561,103,25,0.08,122,384,684,1363,673,206,0,76,28,5,2,11,0,0,4,0,0,0,3,1.38237,0,866,794,0
795,16,16,4,899,3205,3204,1371,567,332,192,284,250,173,437,151,146,0.09,1322,252,773,1285,674,220,98,248,242,49,5,680,0,0,4,0,0,0,3,1.27374,0,899,795,-1
796,16,16,4,1844,6795,6856,3202,1747,97,152,289,698,705,858,373,387,0.13,4026,443,1495,2320,1934,664,1182,356,494,157,3,1834,0,0,4,0,0,0,3,1.27972,0,1844,796,61
797,16,16,4,2106,7245,7313,3163,1504,602,457,391,736,522,1055,355,654,0.12,7668,549,1481,2752,1821,710,805,938,924,370,4,4627,0,0,4,0,0,0,3,1.3481,0,2106,797,68
798,16,16,4,1555,4155,4220,1761,729,826,492,340,489,234,334,288,12,0.21,859,201,687,1266,1327,739,63,241,218,116,4,217,0,0,4,0,0,0,3,1.26187,0,1555,798,65
799,16,16,4,1694,5216,5232,2672,1425,269,283,256,464,691,382,307,20,0.11,296,382,927,1920,1591,412,41,112,118,0,1,24,0,0,4,0,0,0,3,1.21101,0,1694,799,16
800,16,16,4,1951,5836,5883,2653,1224,727,571,354,577,449,433,346,82,0.17,1680,359,1118,2117,1452,837,75,146,1028,411,0,20,0,0,4,4129.48584,0,0,3,1.30194,0,1951,800,47
801,16,16,4,3574,10909,10956,5008,2295,1279,675,608,1309,982,769,473,278,0.1,1469,851,1949,4707,2665,784,254,218,247,246,0,504,0,0,4,0,0,0,3,1.23189,0,3574,801,47
802,16,16,4,1434,5964,5990,2026,1112,322,462,388,383,201,281,220,57,0.11,563,530,1650,2267,1013,530,15,149,205,138,10,46,0,0,3,0,0,0,3,1.35599,0,1434,802,26
803,16,16,4,875,2248,2310,1163,496,379,146,236,259,234,6800,183,150,0.21,452,145,379,850,517,419,12,21,237,173,0,9,0,0,4,0,0,0,1,1.0748,0,875,803,62
804,17,17,4,1089,3260,3282,1344,872,217,235,271,352,231,611,276,40,0.19,497,175,612,1146,798,551,22,210,216,41,0,8,0,0,4,0,0,0,1,1.14327,0,1089,804,22
805,17,17,4,2125,7639,7676,3116,1912,213,416,559,630,520,470,220,126,0.14,479,588,1724,2786,1656,922,47,66,279,58,0,29,0,0,4,0,0,0,3,1.33779,0,2125,805,37
806,17,17,4,3028,9191,9288,3949,1660,1368,1096,654,848,430,1677,500,1099,0.23,8444,568,1606,2924,2349,1841,936,650,617,1076,0,5165,0,0,4,0,0,0,3,1.22385,0,3028,806,97
807,17,17,4,1195,4530,4540,1728,789,406,348,268,385,194,240,179,21,0.17,245,319,997,1526,1068,630,70,36,102,37,0,0,0,0,4,0,0,0,3,1.33979,0,1195,807,10
808,17,17,4,877,3689,3731,1381,870,7,214,197,341,125,208,158,46,0.14,1492,249,860,1249,964,409,25,67,1325,69,0,6,0,0,4,0,0,0,3,1.52543,0,877,808,42
809,17,17,4,729,2324,2331,973,538,191,226,167,234,102,417,126,256,0.22,1903,140,423,689,633,446,176,127,250,221,0,1129,0,0,4,2172.79883,0,0,3,1.21605,0,729,809,7
810,17,17,4,3199,10672,10699,4621,2191,1008,814,967,964,454,11815,598,2396,0.16,23705,743,2057,3677,2765,1457,1389,3750,1842,5369,43,11312,0,0,4,0,0,0,3,1.29866,0,3199,810,27
811,17,17,4,2327,6576,6755,2877,1492,835,730,568,665,364,640,283,343,0.21,2871,391,1124,2309,1733,1198,297,439,834,479,6,816,0,0,3,0,4053.25781,9775.27539,3,1.27958,0,2327,811,179
812,17,17,4,1196,3433,3472,1620,875,321,226,416,374,180,398,154,233,0.19,2843,200,606,1186,913,567,1235,554,751,209,0,94,0,0,3,0,0,0,3,1.36683,0,1196,812,39
813,17,17,4,883,3094,3111,1286,548,335,230,244,302,107,260,123,98,0.14,992,216,757,1043,737,358,37,49,852,15,0,39,0,0,4,0,0,0,3,1.33182,0,883,813,17
814,17,17,4,925,3402,3408,1392,918,7,251,254,238,182,201,150,6,0.17,132,258,713,1133,803,501,16,11,84,11,0,10,0,0,4,0,0,0,3,1.30886,0,925,814,6
815,17,17,4,1128,4409,4528,1662,348,780,502,369,227,30,156,89,67,0.1,184,461,1144,1840,725,358,12,19,149,4,0,0,0,0,4,0,0,0,3,1.44645,0,1128,815,119
816,17,17,4,894,3004,3217,1184,605,289,300,207,250,137,202,118,28,0.24,791,210,629,1013,654,711,138,187,297,26,0,143,0,0,3,0,0,0,3,1.50835,0,894,816,213
817,17,17,4,2035,7873,7905,3174,362,1673,858,782,336,59,215,143,72,0.06,495,908,2065,3418,1190,324,127,153,190,16,0,9,0,0,3,0,0,0,3,1.62759,0,2035,817,32
818,17,17,4,1307,4574,4620,2030,1101,206,305,335,461,206,312,195,102,0.15,371,308,1031,1607,1084,590,0,25,316,11,0,19,0,0,4,1831.52051,0,0,3,1.21815,0,1307,818,46
819,17,17,4,666,2338,2339,1116,376,290,239,228,117,82,159,128,30,0.1,533,198,482,969,507,183,224,85,166,12,0,46,0,0,4,0,0,0,2,1.29643,0,666,819,1
820,17,17,4,3968,11568,11620,5965,2146,1822,822,935,956,1255,14520,1644,204,0.09,1209,1000,1970,5046,2830,774,153,301,399,291,34,31,0,0,4,1157.7843,0,0,1,1.03347,0,3968,820,52
821,17,17,4,1568,4085,5179,2514,985,583,289,351,424,504,1070,450,371,0.11,1953,232,902,2149,1479,417,44,153,1692,52,0,12,0,0,4,0,8049.65723,4369.94824,1,1.10785,0,1568,821,1094
822,17,17,4,994,2604,2619,1384,979,15,145,101,288,460,1079,819,9,0.25,100,102,418,626,932,541,12,48,33,0,1,6,0,0,5,0,0,0,1,0.95691,0,994,822,15
823,17,17,4,2734,6992,7041,3388,1679,1055,931,706,668,429,769,515,99,0.18,882,437,1150,2523,1901,1030,29,150,544,125,2,32,0,0,4,1867.70337,0,0,1,1.15599,0,2734,823,49
824,17,17,4,1699,4583,4582,2288,616,1083,593,457,480,169,437,267,162,0.08,1556,344,782,2395,779,282,670,267,448,80,0,91,0,0,4,0,0,0,1,1.23652,0,1699,824,-1
825,17,17,4,1790,6075,6090,2314,993,797,684,520,389,197,267,204,52,0.1,289,551,1472,2402,1157,508,12,67,91,119,0,0,0,0,4,0,0,0,3,1.35436,0,1790,825,15
826,17,17,4,1599,4563,4572,2083,424,1175,733,458,267,141,222,102,95,0.11,679,451,872,2120,725,404,143,113,147,210,0,66,0,0,4,0,0,0,3,1.44389,0,1599,826,9
827,17,17,4,1318,4015,4028,1757,714,604,455,346,348,169,251,133,68,0.15,2482,310,709,1675,837,497,127,141,956,968,0,290,0,0,3,0,0,0,3,1.77161,0,1318,827,13
828,17,17,4,2152,6962,7129,2869,1214,938,867,650,460,175,441,229,198,0.11,1701,748,1538,2989,1229,625,71,179,392,792,10,257,0,0,4,0,0,0,3,1.35511,0,2152,828,167
829,17,17,4,1004,3260,3283,1501,846,158,265,362,297,80,195,159,24,0.14,1152,292,655,1258,689,389,8,241,257,644,0,2,0,0,2,0,0,0,3,1.4757,0,1004,829,23
830,17,17,4,1820,6720,6724,2586,1073,747,595,543,552,130,290,188,98,0.12,415,685,1509,2679,1201,650,49,9,220,78,0,59,0,0,4,0,0,0,3,1.36341,0,1820,830,4
831,17,17,4,1216,3671,3827,1904,631,585,481,353,332,50,157,88,65,0.11,609,408,795,1549,743,332,133,52,243,50,2,129,0,0,4,0,0,0,3,1.49779,0,1216,831,156
832,17,17,4,1733,5257,5261,2058,1280,453,748,324,496,165,302,222,74,0.21,526,310,1057,1668,1254,972,102,116,241,22,2,43,0,0,4,0,0,0,3,1.27889,0,1733,832,4
833,17,17,4,1436,4531,4558,1931,1407,29,356,420,474,186,317,246,25,0.21,94,258,928,1401,1160,811,3,35,52,2,2,0,0,0,4,0,0,0,3,1.20111,0,1436,833,27
834,17,17,4,1639,5067,5072,2160,1610,29,416,473,476,274,589,322,210,0.26,1268,250,897,1474,1299,1152,0,87,310,60,2,809,0,0,4,1713.20386,0,0,3,1.16344,0,1639,834,5
835,17,17,4,1617,5364,5383,2273,1527,90,446,459,476,236,329,239,90,0.17,573,352,1099,1837,1324,771,121,126,237,40,2,47,0,0,4,270.86441,0,0,3,1.25313,0,1617,835,19
836,17,17,4,1461,4581,4594,1874,1152,309,549,385,368,159,322,279,43,0.22,335,335,803,1526,1034,896,69,38,143,31,4,50,0,0,4,0,0,0,3,1.18706,0,1461,836,13
837,17,17,4,3140,9785,10231,3888,2106,1034,1240,1112,628,160,468,394,56,0.13,800,878,1959,4151,2163,1080,25,112,400,230,1,32,0,0,4,0,0,0,3,1.36413,0,3140,837,446
838,17,17,4,1398,3688,3725,1494,702,696,687,404,239,68,252,200,52,0.2,1198,287,589,1406,780,663,196,279,337,338,2,46,0,0,4,0,0,0,2,1.35531,0,1398,838,37
839,17,17,4,1934,4354,4502,1905,749,1185,906,524,364,140,330,149,175,0.24,5878,297,655,1648,922,980,1498,961,1440,1589,1,389,0,0,3,0,0,0,2,1.91481,0,1934,839,148
840,17,17,4,2531,5512,5627,2865,1199,1332,700,840,721,270,503,377,117,0.26,1202,289,655,1954,1413,1316,116,485,456,55,5,85,0,0,4,0,0,0,1,1.19746,0,2531,840,115
841,17,17,4,1609,4215,4479,1993,904,705,467,457,465,220,313,294,12,0.16,536,365,790,1746,953,625,24,208,240,23,1,40,0,0,4,0,0,0,1,1.22395,0,1609,841,264
842,17,17,4,1295,3183,3224,1611,603,692,438,409,298,150,230,188,42,0.17,491,270,482,1306,683,483,26,169,196,50,23,27,0,0,4,0,0,0,2,1.22975,0,1295,842,41
843,17,17,4,1375,4013,4140,2074,1318,57,271,322,400,382,558,442,6,0.14,224,241,839,1434,1193,433,3,75,99,42,1,4,0,0,4,0,0,0,1,1.07756,0,1375,843,127
844,17,17,4,3099,8798,8818,4943,3037,62,317,332,926,1524,26251,1893,85,0.14,1219,521,1609,2665,3095,928,69,169,424,423,0,134,0,0,5,0,0,0,1,1.00042,0,3099,844,20
845,17,17,4,2444,6809,6916,3556,2404,40,342,472,773,857,1280,787,38,0.22,979,292,1461,1675,2243,1245,0,224,561,83,67,44,0,0,4,0,0,0,1,1.0923,0,2444,845,107
846,17,17,4,2097,5359,5394,2506,1579,518,564,649,582,302,457,360,70,0.22,749,248,966,1701,1463,1016,64,142,393,122,4,24,0,0,4,0,0,0,2,1.18759,0,2097,846,35
847,17,17,4,1158,2714,2714,1206,428,730,497,284,248,129,228,123,50,0.2,1377,170,436,1021,611,476,269,355,555,146,4,48,0,0,3,0,0,0,2,1.50848,0,1158,847,0
848,17,17,4,1785,4466,4681,2199,501,1284,612,593,428,152,273,150,122,0.2,2491,279,784,1807,994,817,398,278,1484,199,4,128,0,0,4,0,0,0,2,1.58606,0,1785,848,215
849,17,17,4,1342,3778,3814,1752,1201,141,269,308,387,378,328,282,33,0.23,496,221,752,1046,1035,760,12,37,378,66,0,3,0,0,4,2237.3291,0,0,1,1.17292,0,1342,849,36
