ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
501,10,10,3,1399,4029,4071,1706,1310,89,341,182,423,453,323,301,9,0.19,286,251,765,1192,1240,623,25,66,101,80,0,14,0,0,4,0,0,0,3,1.16252,0,1399,501,42
502,10,10,3,1642,4444,4453,1957,877,765,474,427,449,292,302,258,44,0.17,881,296,793,1562,1181,621,255,155,260,177,0,34,0,0,4,0,0,0,3,1.27584,0,1642,502,9
503,10,10,3,2631,6037,6044,2565,845,1786,1248,573,548,262,415,305,71,0.19,1898,364,1002,2308,1374,996,192,490,867,231,0,118,0,0,3,0,0,0,3,1.39013,0,2631,503,7
504,10,10,3,1920,3904,3907,2083,848,1072,607,543,426,344,723,222,337,0.14,9122,190,543,1642,1126,406,1058,2160,1785,2308,34,1777,0,0,2,0,0,0,3,1.71795,0,1920,504,3
505,10,10,3,2032,5443,5454,2609,1378,654,452,417,546,617,425,394,15,0.11,534,381,1131,2064,1411,467,44,208,127,128,0,27,0,0,4,0,0,0,3,1.18244,0,2032,505,11
506,10,10,3,1418,3614,3624,1589,1006,412,515,210,318,375,332,238,48,0.2,1895,186,630,1165,1047,596,81,168,1244,198,0,204,0,0,4,0,0,0,3,1.39943,0,1418,506,10
507,10,10,3,1873,4475,4476,1941,1584,289,447,226,293,907,817,625,62,0.25,971,173,703,907,1783,910,44,79,647,115,0,86,0,0,4,0,0,0,1,1.06997,0,1873,507,1
508,10,10,3,1130,2606,2631,1195,777,353,299,115,302,414,448,270,87,0.18,3017,115,499,752,900,365,207,841,322,849,2,796,0,0,4,0,0,0,2,1.38675,0,1130,508,25
509,10,10,3,1298,2682,2683,1332,626,672,352,220,297,429,434,210,61,0.12,2383,112,412,1134,793,232,194,966,468,391,4,360,0,0,4,0,0,0,1,1.4449,0,1298,509,1
510,10,10,3,983,2724,2723,958,885,98,179,153,150,501,776,746,16,0.22,295,132,592,505,1008,486,3,117,89,22,4,60,0,0,4,0,0,0,1,0.9754,0,983,510,-1
511,10,10,3,2964,6398,6505,2778,1959,1005,776,599,503,1086,2966,1275,193,0.27,5878,249,902,1636,2192,1526,645,1582,2496,755,31,369,0,0,5,1731.86633,0,0,1,1.14539,0,2964,511,107
512,10,10,3,1619,3992,4009,1993,1579,40,209,297,381,732,33268,1665,23,0.13,866,212,759,1125,1567,346,42,289,263,238,0,34,0,0,5,0,0,0,1,0.96022,0,1619,512,17
513,10,10,3,1017,2707,2799,1219,951,66,104,169,144,600,3381,689,13,0.21,375,112,546,588,1086,467,4,171,134,52,0,14,0,0,4,0,0,0,1,0.98881,0,1017,513,92
514,10,10,3,2657,7373,7436,2865,2407,250,408,413,640,1196,2314,1313,46,0.23,1427,391,1441,1732,2390,1482,253,293,657,200,0,24,0,0,4,0,0,0,1,1.03645,0,2657,514,63
515,10,10,3,2388,6844,6882,2920,1763,625,815,439,465,669,562,443,93,0.16,885,434,1458,2132,1942,916,67,184,508,105,0,21,0,0,4,2080.78979,0,0,3,1.18877,0,2388,515,38
