bridgeID,StructureID,Start Node,End Node,"Millbrae-Richmond (1=yes, 0=no)",Richmond-Fremont,SFO-Bay Point,Bay Point-Montgomery,Bay Point-Daly City,Concord-Daly City,Concord-24th St,Pleasant Hill - Daly City,Pleasant Hill - Montgomery,Montogmery- Concord,24th st- bay point,daly city - dublin,daly city - fremont,Notes
1880,137,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1879,136,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1878,135,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1877,134,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1876,133,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1875,132,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1874,131,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1873,130,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1872,129,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1871,128,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1870,127,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1869,126,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1868,125,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1867,124,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1866,123,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1865,122,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1864,121,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1863,120,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1862,119,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1861,118,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1860,117,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1859,116,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1858,115,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1857,114,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1856,113,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1855,112,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1854,111,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1853,110,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1852,109,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1851,108,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1850,107,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
1849,106,El Cerrito Plaza,North Berkeley,1,1,0,0,0,0,0,0,0,0,0,0,0,
